iso_code,location,date,people_fully_vaccinated_per_hundred
OWID_AFR,Africa,6/11/2020,
OWID_AFR,Africa,7/11/2020,
OWID_AFR,Africa,8/11/2020,
OWID_AFR,Africa,9/11/2020,
OWID_AFR,Africa,10/11/2020,
OWID_AFR,Africa,11/11/2020,
OWID_AFR,Africa,12/11/2020,
OWID_AFR,Africa,13/11/2020,
OWID_AFR,Africa,14/11/2020,
OWID_AFR,Africa,15/11/2020,
OWID_AFR,Africa,16/11/2020,
OWID_AFR,Africa,17/11/2020,
OWID_AFR,Africa,18/11/2020,
OWID_AFR,Africa,19/11/2020,
OWID_AFR,Africa,20/11/2020,
OWID_AFR,Africa,21/11/2020,
OWID_AFR,Africa,22/11/2020,
OWID_AFR,Africa,23/11/2020,
OWID_AFR,Africa,24/11/2020,
OWID_AFR,Africa,25/11/2020,
OWID_AFR,Africa,26/11/2020,
OWID_AFR,Africa,27/11/2020,
OWID_AFR,Africa,28/11/2020,
OWID_AFR,Africa,29/11/2020,
OWID_AFR,Africa,30/11/2020,
OWID_AFR,Africa,1/12/2020,
OWID_AFR,Africa,2/12/2020,
OWID_AFR,Africa,3/12/2020,
OWID_AFR,Africa,4/12/2020,
OWID_AFR,Africa,5/12/2020,
OWID_AFR,Africa,6/12/2020,
OWID_AFR,Africa,7/12/2020,
OWID_AFR,Africa,8/12/2020,
OWID_AFR,Africa,9/12/2020,
OWID_AFR,Africa,10/12/2020,
OWID_AFR,Africa,11/12/2020,
OWID_AFR,Africa,12/12/2020,
OWID_AFR,Africa,13/12/2020,
OWID_AFR,Africa,14/12/2020,
OWID_AFR,Africa,15/12/2020,
OWID_AFR,Africa,16/12/2020,
OWID_AFR,Africa,17/12/2020,
OWID_AFR,Africa,18/12/2020,
OWID_AFR,Africa,19/12/2020,
OWID_AFR,Africa,20/12/2020,
OWID_AFR,Africa,21/12/2020,
OWID_AFR,Africa,22/12/2020,
OWID_AFR,Africa,23/12/2020,
OWID_AFR,Africa,24/12/2020,
OWID_AFR,Africa,25/12/2020,
OWID_AFR,Africa,26/12/2020,
OWID_AFR,Africa,27/12/2020,
OWID_AFR,Africa,28/12/2020,
OWID_AFR,Africa,29/12/2020,
OWID_AFR,Africa,30/12/2020,
OWID_AFR,Africa,31/12/2020,
OWID_AFR,Africa,1/1/2021,
OWID_AFR,Africa,2/1/2021,
OWID_AFR,Africa,3/1/2021,
OWID_AFR,Africa,4/1/2021,
OWID_AFR,Africa,5/1/2021,
OWID_AFR,Africa,6/1/2021,
OWID_AFR,Africa,7/1/2021,
OWID_AFR,Africa,8/1/2021,
OWID_AFR,Africa,9/1/2021,
OWID_AFR,Africa,10/1/2021,
OWID_AFR,Africa,11/1/2021,
OWID_AFR,Africa,12/1/2021,
